,HomeTeam,AwayTeam,Results
0,Man United,Leicester,1
1,Bournemouth,Cardiff,1
2,Fulham,Crystal Palace,2
3,Huddersfield,Chelsea,2
4,Newcastle,Tottenham,2
5,Watford,Brighton,1
6,Wolves,Everton,0
7,Arsenal,Man City,2
8,Liverpool,West Ham,1
9,Southampton,Burnley,0
10,Cardiff,Newcastle,0
11,Chelsea,Arsenal,1
12,Everton,Southampton,1
13,Leicester,Wolves,1
14,Tottenham,Fulham,1
15,West Ham,Bournemouth,2
16,Brighton,Man United,1
17,Burnley,Watford,2
18,Man City,Huddersfield,1
19,Crystal Palace,Liverpool,2
20,Arsenal,West Ham,1
21,Bournemouth,Everton,0
22,Huddersfield,Cardiff,0
23,Liverpool,Brighton,1
24,Southampton,Leicester,2
25,Wolves,Man City,0
26,Fulham,Burnley,1
27,Newcastle,Chelsea,2
28,Watford,Crystal Palace,1
29,Man United,Tottenham,2
30,Brighton,Fulham,0
31,Chelsea,Bournemouth,1
32,Crystal Palace,Southampton,2
33,Everton,Huddersfield,0
34,Leicester,Liverpool,2
35,Man City,Newcastle,1
36,West Ham,Wolves,2
37,Burnley,Man United,2
38,Cardiff,Arsenal,2
39,Watford,Tottenham,1
40,Bournemouth,Leicester,1
41,Chelsea,Cardiff,1
42,Huddersfield,Crystal Palace,2
43,Man City,Fulham,1
44,Newcastle,Arsenal,2
45,Tottenham,Liverpool,2
46,Watford,Man United,2
47,Everton,West Ham,2
48,Wolves,Burnley,1
49,Southampton,Brighton,0
50,Brighton,Tottenham,2
51,Burnley,Bournemouth,1
52,Cardiff,Man City,2
53,Crystal Palace,Newcastle,0
54,Fulham,Watford,0
55,Leicester,Huddersfield,1
56,Liverpool,Southampton,1
57,Man United,Wolves,0
58,Arsenal,Everton,1
59,West Ham,Chelsea,0
60,Arsenal,Watford,1
61,Chelsea,Liverpool,0
62,Everton,Fulham,1
63,Huddersfield,Tottenham,2
64,Man City,Brighton,1
65,Newcastle,Leicester,2
66,West Ham,Man United,1
67,Wolves,Southampton,1
68,Cardiff,Burnley,2
69,Bournemouth,Crystal Palace,1
70,Brighton,West Ham,1
71,Burnley,Huddersfield,0
72,Crystal Palace,Wolves,2
73,Leicester,Everton,2
74,Man United,Newcastle,1
75,Tottenham,Cardiff,1
76,Watford,Bournemouth,2
77,Fulham,Arsenal,2
78,Liverpool,Man City,0
79,Southampton,Chelsea,2
80,Bournemouth,Southampton,0
81,Cardiff,Fulham,1
82,Chelsea,Man United,0
83,Huddersfield,Liverpool,2
84,Man City,Burnley,1
85,Newcastle,Brighton,2
86,West Ham,Tottenham,2
87,Wolves,Watford,2
88,Everton,Crystal Palace,1
89,Arsenal,Leicester,1
90,Brighton,Wolves,1
91,Fulham,Bournemouth,2
92,Leicester,West Ham,0
93,Liverpool,Cardiff,1
94,Southampton,Newcastle,0
95,Watford,Huddersfield,1
96,Burnley,Chelsea,2
97,Crystal Palace,Arsenal,0
98,Man United,Everton,1
99,Tottenham,Man City,2
100,Arsenal,Liverpool,0
101,Bournemouth,Man United,2
102,Cardiff,Leicester,2
103,Everton,Brighton,1
104,Newcastle,Watford,1
105,West Ham,Burnley,1
106,Wolves,Tottenham,2
107,Chelsea,Crystal Palace,1
108,Man City,Southampton,1
109,Huddersfield,Fulham,1
110,Cardiff,Brighton,1
111,Crystal Palace,Tottenham,2
112,Huddersfield,West Ham,0
113,Leicester,Burnley,0
114,Newcastle,Bournemouth,1
115,Southampton,Watford,0
116,Arsenal,Wolves,0
117,Chelsea,Everton,0
118,Liverpool,Fulham,1
119,Man City,Man United,1
120,Brighton,Leicester,0
121,Everton,Cardiff,1
122,Fulham,Southampton,1
123,Man United,Crystal Palace,0
124,Tottenham,Chelsea,1
125,Watford,Liverpool,2
126,West Ham,Man City,2
127,Bournemouth,Arsenal,2
128,Wolves,Huddersfield,2
129,Burnley,Newcastle,2
130,Cardiff,Wolves,1
131,Crystal Palace,Burnley,1
132,Huddersfield,Brighton,2
133,Leicester,Watford,1
134,Man City,Bournemouth,1
135,Newcastle,West Ham,2
136,Southampton,Man United,0
137,Arsenal,Tottenham,1
138,Chelsea,Fulham,1
139,Liverpool,Everton,1
140,Bournemouth,Huddersfield,1
141,Brighton,Crystal Palace,1
142,Watford,Man City,2
143,West Ham,Cardiff,1
144,Burnley,Liverpool,2
145,Everton,Newcastle,0
146,Fulham,Leicester,0
147,Man United,Arsenal,0
148,Tottenham,Southampton,1
149,Wolves,Chelsea,1
150,Arsenal,Huddersfield,1
151,Bournemouth,Liverpool,2
152,Burnley,Brighton,1
153,Cardiff,Southampton,1
154,Chelsea,Man City,1
155,Leicester,Tottenham,2
156,Man United,Fulham,1
157,West Ham,Crystal Palace,1
158,Newcastle,Wolves,2
159,Everton,Watford,0
160,Crystal Palace,Leicester,1
161,Fulham,West Ham,2
162,Huddersfield,Newcastle,2
163,Man City,Everton,1
164,Tottenham,Burnley,1
165,Watford,Cardiff,1
166,Wolves,Bournemouth,1
167,Brighton,Chelsea,2
168,Liverpool,Man United,1
169,Southampton,Arsenal,1
170,Wolves,Liverpool,2
171,Arsenal,Burnley,1
172,Bournemouth,Brighton,1
173,Cardiff,Man United,2
174,Chelsea,Leicester,2
175,Huddersfield,Southampton,2
176,Man City,Crystal Palace,2
177,Newcastle,Fulham,0
178,West Ham,Watford,2
179,Everton,Tottenham,2
180,Brighton,Arsenal,0
181,Burnley,Everton,2
182,Crystal Palace,Cardiff,0
183,Fulham,Wolves,0
184,Leicester,Man City,1
185,Liverpool,Newcastle,1
186,Man United,Huddersfield,1
187,Tottenham,Bournemouth,1
188,Watford,Chelsea,2
189,Southampton,West Ham,2
190,Brighton,Everton,1
191,Fulham,Huddersfield,1
192,Leicester,Cardiff,2
193,Liverpool,Arsenal,1
194,Tottenham,Wolves,2
195,Watford,Newcastle,0
196,Burnley,West Ham,1
197,Crystal Palace,Chelsea,2
198,Man United,Bournemouth,1
199,Southampton,Man City,2
200,Arsenal,Fulham,1
201,Cardiff,Tottenham,2
202,Everton,Leicester,2
203,Bournemouth,Watford,0
204,Chelsea,Southampton,0
205,Huddersfield,Burnley,2
206,Newcastle,Man United,2
207,West Ham,Brighton,0
208,Wolves,Crystal Palace,2
209,Man City,Liverpool,1
210,Brighton,Liverpool,2
211,Burnley,Fulham,1
212,Cardiff,Huddersfield,0
213,Chelsea,Newcastle,1
214,Crystal Palace,Watford,2
215,Leicester,Southampton,2
216,West Ham,Arsenal,1
217,Everton,Bournemouth,1
218,Tottenham,Man United,2
219,Man City,Wolves,1
220,Arsenal,Chelsea,1
221,Bournemouth,West Ham,1
222,Liverpool,Crystal Palace,1
223,Man United,Brighton,1
